x	d100 strained
0	11.8539824331146
0.01	11.8459428275373
0.02	11.8379027388694
0.03	11.8298621668073
0.04	11.8218211110467
0.05	11.8137795712826
0.06	11.8057375472095
0.07	11.7976950385207
0.08	11.7896520449092
0.09	11.781608566067
0.1	11.7735646016855
0.11	11.7655201514554
0.12	11.7574752150665
0.13	11.749429792208
0.14	11.7413838825683
0.15	11.7333374858351
0.16	11.7252906016952
0.17	11.7172432298349
0.18	11.7091953699395
0.19	11.7011470216939
0.2	11.6930981847818
0.21	11.6850488588864
0.22	11.6769990436902
0.23	11.6689487388749
0.24	11.6608979441212
0.25	11.6528466591095
0.26	11.6447948835189
0.27	11.6367426170283
0.28	11.6286898593153
0.29	11.620636610057
0.3	11.6125828689299
0.31	11.6045286356094
0.32	11.5964739097702
0.33	11.5884186910864
0.34	11.5803629792312
0.35	11.572306773877
0.36	11.5642500746955
0.37	11.5561928813574
0.38	11.548135193533
0.39	11.5400770108915
0.4	11.5320183331014
0.41	11.5239591598305
0.42	11.5158994907456
0.43	11.507839325513
0.44	11.4997786637979
0.45	11.4917175052648
0.46	11.4836558495777
0.47	11.4755936963992
0.48	11.4675310453917
0.49	11.4594678962165
0.5	11.451404248534
0.51	11.443340102004
0.52	11.4352754562855
0.53	11.4272103110364
0.54	11.4191446659141
0.55	11.4110785205751
0.56	11.403011874675
0.57	11.3949447278686
0.58	11.3868770798099
0.59	11.3788089301521
0.6	11.3707402785476
0.61	11.3626711246479
0.62	11.3546014681037
0.63	11.3465313085649
0.64	11.3384606456804
0.65	11.3303894790985
0.66	11.3223178084666
0.67	11.3142456334311
0.68	11.3061729536378
0.69	11.2980997687314
0.7	11.290026078356
0.71	11.2819518821547
0.72	11.2738771797697
0.73	11.2658019708426
0.74	11.2577262550138
0.75	11.2496500319232
0.76	11.2415733012096
0.77	11.233496062511
0.78	11.2254183154645
0.79	11.2173400597065
0.8	11.2092612948723
0.81	11.2011820205965
0.82	11.1931022365128
0.83	11.185021942254
0.84	11.176941137452
0.85	11.1688598217378
0.86	11.1607779947416
0.87	11.1526956560928
0.88	11.1446128054198
0.89	11.1365294423499
0.9	11.12844556651
0.91	11.1203611775258
0.92	11.112276275022
0.93	11.1041908586228
0.94	11.096104927951
0.95	11.088018482629
0.96	11.079931522278
0.97	11.0718440465183
0.98	11.0637560549694
0.99	11.0556675472499
1	11.0475785229775
